ID_Number,Common_Name,Genus,Species,Block,Light,Meja,Bud_growth,StemDiameterInitial,StemDiameterFinal,ChngStemDiameter,Photosynthetic_efficiancy,,
401,BlackAsh,Fraxinus,nigra,2,Shade,N,58.50,17.4100,,,0.847,,
402,BlackAsh,Fraxinus,nigra,5,Sun,Y,75.95,28.0400,,,0.432,,
403,BlackAsh,Fraxinus,nigra,3,Shade,N,135.00,22.1600,,,0.8395,,
404,BlackAsh,Fraxinus,nigra,2,Shade,Y,115.00,17.6600,,,0.7685,,
405,BlackAsh,Fraxinus,nigra,4,Sun,Y,93.28,20.1300,,,0.478,,
406,BlackAsh,Fraxinus,nigra,7,Shade,N,238.00,25.3500,,,0.82,,
407,BlackAsh,Fraxinus,nigra,1,Sun,Y,21.31,28.1000,,,0.337,,
408,BlackAsh,Fraxinus,nigra,5,Sun,N,45.74,19.5400,,,0.536,,
409,BlackAsh,Fraxinus,nigra,3,Shade,Y,114.00,21.6500,,,0.8025,,
410,BlackAsh,Fraxinus,nigra,6,Shade,Y,11.2,24.1400,,,0.767,,
411,BlackAsh,Fraxinus,nigra,7,Shade,Y,112.00,20.5000,,,0.834,,
412,BlackAsh,Fraxinus,nigra,5,Sun,N,51.71,19.2700,,,0.4765,,
413,BlackAsh,Fraxinus,nigra,1,Sun,N,49.90,21.5900,,,0.479,,
414,BlackAsh,Fraxinus,nigra,8,Sun,N,122.00,22.2500,,,0,,
415,BlackAsh,Fraxinus,nigra,8,Sun,Y,191.00,20.4700,,,0.2385,,
416,BlackAsh,Fraxinus,nigra,6,Shade,Y,16.00,23.2900,,,0.719,,
417,BlackAsh,Fraxinus,nigra,1,Sun,N,123.34,19.6600,,,0.4705,,
418,BlackAsh,Fraxinus,nigra,6,Shade,N,47.00,25.5000,,,0.702,,
419,BlackAsh,Fraxinus,nigra,8,Sun,N,73.00,25.0600,,,0.467,,
420,BlackAsh,Fraxinus,nigra,7,Shade,Y,28.00,22.8500,,,0.792,,
421,BlackAsh,Fraxinus,nigra,6,Shade,N,72.50,20.2100,,,0.867,,
422,BlackAsh,Fraxinus,nigra,3,Shade,N,70.11,22.2200,,,0.7215,,
423,BlackAsh,Fraxinus,nigra,2,Shade,N,57.00,25.8900,,,0.7285,,
424,BlackAsh,Fraxinus,nigra,4,Sun,Y,34.55,22.8600,,,0.6675,,
425,BlackAsh,Fraxinus,nigra,3,Shade,Y,157.00,21.7400,,,0.769,,
426,BlackAsh,Fraxinus,nigra,2,Shade,Y,11.00,24.7600,,,,,
427,BlackAsh,Fraxinus,nigra,1,Sun,Y,81.37,31.2200,,,0.8035,,
428,BlackAsh,Fraxinus,nigra,8,Sun,Y,66.59,19.4000,,,0.5205,,
429,BlackAsh,Fraxinus,nigra,4,Sun,N,104.72,23.0000,,,,,
430,BlackAsh,Fraxinus,nigra,5,Sun,Y,27.11,25.3300,,,0.7105,,
431,BlackAsh,Fraxinus,nigra,7,Shade,N,186.00,25.5200,,,0.865,,
432,BlackAsh,Fraxinus,nigra,4,Sun,N,77.44,17.2500,,,,,
433,WhiteFringeTree,Chionanthus,virginicus,2,Shade,N,40.00,27.6900,,,0.7845,,
434,WhiteFringeTree,Chionanthus,virginicus,5,Sun,N,114.00,33.6400,,,0.7935,,
435,WhiteFringeTree,Chionanthus,virginicus,6,Shade,Y,52.50,30.0700,,,,,
436,WhiteFringeTree,Chionanthus,virginicus,6,Shade,N,82.50,26.8200,,,0.8025,,
437,WhiteFringeTree,Chionanthus,virginicus,2,Shade,Y,105.00,35.2000,,,0.788,,
438,WhiteFringeTree,Chionanthus,virginicus,3,Shade,Y,215.50,39.4400,,,0.478,,
439,WhiteFringeTree,Chionanthus,virginicus,1,Sun,Y,97.14,36.3400,,,0.433,,
440,WhiteFringeTree,Chionanthus,virginicus,3,Shade,Y,121.41,29.1500,,,0.695,,
441,WhiteFringeTree,Chionanthus,virginicus,7,Shade,Y,25.33,20.2900,,,0.901,,
442,WhiteFringeTree,Chionanthus,virginicus,8,Sun,Y,,25.6100,,,0.506,,
443,WhiteFringeTree,Chionanthus,virginicus,4,Sun,Y,51.96,39.3900,,,0.4765,,
444,WhiteFringeTree,Chionanthus,virginicus,3,Shade,N,138.00,20.6500,,,0.693,,
445,WhiteFringeTree,Chionanthus,virginicus,7,Shade,N,180.33,28.4100,,,0.7795,,
446,WhiteFringeTree,Chionanthus,virginicus,6,Shade,N,,39.1600,,,,,
447,WhiteFringeTree,Chionanthus,virginicus,7,Shade,N,72.50,24.4200,,,0.6695,,
448,WhiteFringeTree,Chionanthus,virginicus,1,Sun,N,152.00,44.6700,,,,,
449,WhiteFringeTree,Chionanthus,virginicus,1,Sun,Y,130,23.9384,,,0.4165,,
450,WhiteFringeTree,Chionanthus,virginicus,8,Sun,Y,109.80,21.8400,,,,,
451,WhiteFringeTree,Chionanthus,virginicus,4,Sun,N,176.44,40.4800,,,0.5345,,
452,WhiteFringeTree,Chionanthus,virginicus,7,Shade,Y,68.33,29.0700,,,0.762,,
453,WhiteFringeTree,Chionanthus,virginicus,4,Sun,N,,20.9700,,,,,
454,WhiteFringeTree,Chionanthus,virginicus,6,Shade,Y,34.00,23.6400,,,0.502,,
455,WhiteFringeTree,Chionanthus,virginicus,5,Sun,Y,38.26,28.9600,,,0.6385,,
456,WhiteFringeTree,Chionanthus,virginicus,3,Shade,N,44.69,22.2500,,,0.7075,,
457,WhiteFringeTree,Chionanthus,virginicus,8,Sun,N,118.23,23.6900,,,0.6445,,
458,WhiteFringeTree,Chionanthus,virginicus,5,Sun,Y,32.62,21.7000,,,0.597,,
459,WhiteFringeTree,Chionanthus,virginicus,2,Shade,N,86.00,19.0900,,,0.784,,
460,WhiteFringeTree,Chionanthus,virginicus,1,Sun,N,156.38,29.2994,,,0.3755,,
461,WhiteFringeTree,Chionanthus,virginicus,5,Sun,N,184.00,26.7516,,,0.676,,
462,WhiteFringeTree,Chionanthus,virginicus,8,Sun,N,237.67,38.3758,,,0.33,,